trial,freq,marker
1,250,4
2,50,0
3,200,3
4,200,3
5,250,4
6,50,0
7,150,2
8,50,0
9,100,1
10,100,1
11,50,0
12,50,0
13,50,0
14,200,3
15,50,0
16,100,1
17,150,2
18,200,3
19,150,2
20,150,2
21,250,4
22,50,0
23,250,4
24,150,2
25,100,1
26,100,1
27,200,3
28,200,3
29,200,3
30,100,1
31,200,3
32,250,4
33,250,4
34,250,4
35,250,4
36,50,0
37,100,1
38,50,0
39,250,4
40,200,3
41,50,0
42,100,1
43,150,2
44,150,2
45,200,3
46,150,2
47,200,3
48,200,3
49,150,2
50,100,1
51,250,4
52,200,3
53,150,2
54,50,0
55,200,3
56,200,3
57,50,0
58,50,0
59,200,3
60,200,3
61,50,0
62,50,0
63,50,0
64,250,4
65,50,0
66,200,3
67,100,1
68,50,0
69,100,1
70,100,1
71,200,3
72,50,0
73,200,3
74,50,0
75,100,1
76,200,3
77,100,1
78,250,4
79,50,0
80,200,3
81,200,3
82,200,3
83,50,0
84,200,3
85,250,4
86,150,2
87,100,1
88,200,3
89,200,3
90,100,1
91,200,3
92,150,2
93,100,1
94,100,1
95,150,2
96,50,0
97,50,0
98,50,0
99,100,1
100,200,3
101,50,0
102,50,0
103,250,4
104,100,1
105,100,1
106,150,2
107,250,4
108,150,2
109,200,3
110,100,1
111,150,2
112,200,3
113,100,1
114,50,0
115,250,4
116,100,1
117,50,0
118,50,0
119,200,3
120,50,0
121,200,3
122,50,0
123,150,2
124,250,4
125,200,3
126,100,1
127,250,4
128,250,4
129,150,2
130,50,0
131,50,0
132,200,3
133,250,4
134,150,2
135,100,1
136,200,3
137,150,2
138,150,2
139,250,4
140,100,1
141,50,0
142,50,0
143,200,3
144,150,2
145,100,1
146,50,0
147,50,0
148,50,0
149,50,0
150,100,1
151,100,1
152,50,0
153,50,0
154,250,4
155,100,1
156,100,1
157,100,1
158,200,3
159,100,1
160,50,0
161,250,4
162,50,0
163,150,2
164,250,4
165,50,0
166,50,0
167,200,3
168,250,4
169,250,4
170,200,3
171,150,2
172,150,2
173,200,3
174,150,2
175,50,0
176,150,2
177,200,3
178,50,0
179,250,4
180,50,0
181,200,3
182,100,1
183,50,0
184,200,3
185,250,4
186,250,4
187,50,0
188,200,3
189,200,3
190,250,4
191,50,0
192,100,1
193,150,2
194,50,0
195,50,0
196,100,1
197,100,1
198,100,1
199,200,3
200,150,2
201,100,1
