trial,freq,marker
1,200,4
2,100,2
3,250,5
4,150,3
5,200,4
6,150,3
7,250,5
8,250,5
9,250,5
10,100,2
11,50,1
12,200,4
13,200,4
14,250,5
15,250,5
16,250,5
17,50,1
18,250,5
19,50,1
20,200,4
21,150,3
22,200,4
23,100,2
24,100,2
25,50,1
26,200,4
27,100,2
28,200,4
29,200,4
30,50,1
31,100,2
32,50,1
33,100,2
34,150,3
35,250,5
36,50,1
37,150,3
38,150,3
39,150,3
40,150,3
41,100,2
42,100,2
43,100,2
44,100,2
45,250,5
46,100,2
47,200,4
48,150,3
49,200,4
50,200,4
51,100,2
52,100,2
53,150,3
54,150,3
55,200,4
56,100,2
57,250,5
58,50,1
59,50,1
60,100,2
61,150,3
62,50,1
63,250,5
64,200,4
65,150,3
66,150,3
67,100,2
68,50,1
69,100,2
70,150,3
71,200,4
72,100,2
73,250,5
74,200,4
75,200,4
76,100,2
77,50,1
78,250,5
79,200,4
80,250,5
81,200,4
82,150,3
83,250,5
84,50,1
85,200,4
86,50,1
87,250,5
88,50,1
89,150,3
90,200,4
91,50,1
92,150,3
93,50,1
94,100,2
95,200,4
96,250,5
97,250,5
98,200,4
99,100,2
100,250,5
101,200,4
102,50,1
103,250,5
104,150,3
105,100,2
106,250,5
107,150,3
108,250,5
109,250,5
110,200,4
111,200,4
112,100,2
113,100,2
114,150,3
115,200,4
116,100,2
117,50,1
118,250,5
119,150,3
120,50,1
121,50,1
122,100,2
123,200,4
124,200,4
125,100,2
126,200,4
127,250,5
128,200,4
129,150,3
130,50,1
131,50,1
132,250,5
133,100,2
134,200,4
135,150,3
136,150,3
137,100,2
138,50,1
139,200,4
140,250,5
141,150,3
142,200,4
143,50,1
144,100,2
145,150,3
146,200,4
147,50,1
148,50,1
149,100,2
150,250,5
151,150,3
152,200,4
153,200,4
154,200,4
155,200,4
156,50,1
157,50,1
158,200,4
159,200,4
160,150,3
161,50,1
162,150,3
163,100,2
164,100,2
165,150,3
166,50,1
167,200,4
168,150,3
169,200,4
170,100,2
171,100,2
172,250,5
173,200,4
174,200,4
175,100,2
176,250,5
177,150,3
178,100,2
179,50,1
180,200,4
181,250,5
182,250,5
183,100,2
184,150,3
185,50,1
186,250,5
187,150,3
188,250,5
189,150,3
190,150,3
191,50,1
192,200,4
193,150,3
194,50,1
195,100,2
196,250,5
197,250,5
198,150,3
199,200,4
200,50,1
201,150,3
202,50,1
203,50,1
204,50,1
205,50,1
206,150,3
207,100,2
208,200,4
209,50,1
210,200,4
211,100,2
212,250,5
213,50,1
214,250,5
215,150,3
216,200,4
217,250,5
218,150,3
219,150,3
220,150,3
221,200,4
222,200,4
223,100,2
224,100,2
225,150,3
226,50,1
227,150,3
228,50,1
229,250,5
230,200,4
231,50,1
232,250,5
233,50,1
234,100,2
235,50,1
236,250,5
237,200,4
238,100,2
239,250,5
240,100,2
241,150,3
242,200,4
243,200,4
244,50,1
245,50,1
246,200,4
247,100,2
248,50,1
249,200,4
250,250,5
251,50,1
252,200,4
253,150,3
254,150,3
255,150,3
256,150,3
257,150,3
258,100,2
259,100,2
260,50,1
261,250,5
262,250,5
263,100,2
264,150,3
265,100,2
266,100,2
267,250,5
268,200,4
269,150,3
270,50,1
271,200,4
272,250,5
273,200,4
274,100,2
275,200,4
276,250,5
277,200,4
278,150,3
279,250,5
280,100,2
281,200,4
282,100,2
283,100,2
284,50,1
285,50,1
286,250,5
287,100,2
288,150,3
289,100,2
290,200,4
291,50,1
292,150,3
293,150,3
294,100,2
295,150,3
296,50,1
297,200,4
298,200,4
299,50,1
300,150,3
301,250,5
302,150,3
303,150,3
304,150,3
305,250,5
306,100,2
307,250,5
308,100,2
309,150,3
310,100,2
311,100,2
312,150,3
313,200,4
314,100,2
315,150,3
316,50,1
317,200,4
318,250,5
319,250,5
320,250,5
321,200,4
322,150,3
323,250,5
324,100,2
325,250,5
326,150,3
327,250,5
328,150,3
329,50,1
330,200,4
331,100,2
332,50,1
333,100,2
334,100,2
335,250,5
336,250,5
337,250,5
338,250,5
339,150,3
340,100,2
341,150,3
342,150,3
343,150,3
344,50,1
345,100,2
346,200,4
347,150,3
348,50,1
349,250,5
350,100,2
351,250,5
352,250,5
353,200,4
354,100,2
355,50,1
356,250,5
357,150,3
358,50,1
359,150,3
360,150,3
361,100,2
362,50,1
363,100,2
364,50,1
365,50,1
366,100,2
367,250,5
368,150,3
369,250,5
370,250,5
371,250,5
372,100,2
373,200,4
374,150,3
375,250,5
376,250,5
377,150,3
378,100,2
379,50,1
380,100,2
381,250,5
382,250,5
383,100,2
384,200,4
385,200,4
386,150,3
387,100,2
388,150,3
389,250,5
390,150,3
391,200,4
392,100,2
393,100,2
394,50,1
395,100,2
396,250,5
397,50,1
398,200,4
399,250,5
400,100,2
401,150,3
402,150,3
403,250,5
404,100,2
405,50,1
406,150,3
407,100,2
408,200,4
409,200,4
410,250,5
411,250,5
412,50,1
413,250,5
414,50,1
415,100,2
416,50,1
417,50,1
418,50,1
419,100,2
420,100,2
421,50,1
422,100,2
423,150,3
424,100,2
425,150,3
426,50,1
427,200,4
428,100,2
429,150,3
430,200,4
431,150,3
432,50,1
433,150,3
434,250,5
435,200,4
436,100,2
437,200,4
438,200,4
439,50,1
440,150,3
441,200,4
442,150,3
443,200,4
444,150,3
445,150,3
446,200,4
447,200,4
448,200,4
449,50,1
450,50,1
451,50,1
452,150,3
453,100,2
454,100,2
455,250,5
456,250,5
457,200,4
458,100,2
459,200,4
460,150,3
461,50,1
462,250,5
463,250,5
464,150,3
465,250,5
466,200,4
467,200,4
468,50,1
469,100,2
470,250,5
471,150,3
472,200,4
473,150,3
474,100,2
475,50,1
476,100,2
477,100,2
478,200,4
479,100,2
480,50,1
481,100,2
482,150,3
483,150,3
484,250,5
485,250,5
486,100,2
487,50,1
488,200,4
489,200,4
490,150,3
491,50,1
492,150,3
493,250,5
494,100,2
495,250,5
496,250,5
497,100,2
498,200,4
499,150,3
500,50,1
501,100,2
502,150,3
503,100,2
504,50,1
505,250,5
506,250,5
507,200,4
508,200,4
509,250,5
510,150,3
511,250,5
512,100,2
513,100,2
514,50,1
515,50,1
516,150,3
517,100,2
518,150,3
519,100,2
520,100,2
521,50,1
522,150,3
523,150,3
524,150,3
525,150,3
526,100,2
527,200,4
528,250,5
529,150,3
530,150,3
531,250,5
532,50,1
533,200,4
534,100,2
535,200,4
536,200,4
537,250,5
538,150,3
539,250,5
540,250,5
541,200,4
542,250,5
543,100,2
544,100,2
545,200,4
546,150,3
547,50,1
548,200,4
549,250,5
550,50,1
551,150,3
552,50,1
553,50,1
554,100,2
555,50,1
556,100,2
557,150,3
558,50,1
559,100,2
560,200,4
561,100,2
562,100,2
563,50,1
564,200,4
565,200,4
566,50,1
567,100,2
568,100,2
569,50,1
570,200,4
571,150,3
572,100,2
573,150,3
574,250,5
575,50,1
576,100,2
577,100,2
578,150,3
579,100,2
580,100,2
581,150,3
582,50,1
583,100,2
584,100,2
585,150,3
586,150,3
587,150,3
588,50,1
589,100,2
590,250,5
591,250,5
592,200,4
593,100,2
594,50,1
595,100,2
596,150,3
597,200,4
598,100,2
599,50,1
600,250,5
601,100,2
602,250,5
603,250,5
604,100,2
605,100,2
606,200,4
607,50,1
608,150,3
609,100,2
610,50,1
611,250,5
612,50,1
613,50,1
614,150,3
615,150,3
616,200,4
617,100,2
618,150,3
619,200,4
620,100,2
621,250,5
622,150,3
623,250,5
624,50,1
625,50,1
626,250,5
627,100,2
628,250,5
629,250,5
630,250,5
631,150,3
632,200,4
633,250,5
634,100,2
635,250,5
636,50,1
637,250,5
638,50,1
639,100,2
640,100,2
641,100,2
642,50,1
643,100,2
644,150,3
645,50,1
646,250,5
647,50,1
648,150,3
649,200,4
650,150,3
651,100,2
652,150,3
653,50,1
654,150,3
655,150,3
656,250,5
657,250,5
658,250,5
659,50,1
660,100,2
661,50,1
662,250,5
663,50,1
664,50,1
665,250,5
666,200,4
667,50,1
668,150,3
669,100,2
670,150,3
671,200,4
672,200,4
673,250,5
674,50,1
675,50,1
676,150,3
677,100,2
678,100,2
679,150,3
680,150,3
681,50,1
682,100,2
683,100,2
684,200,4
685,200,4
686,250,5
687,100,2
688,100,2
689,200,4
690,100,2
691,250,5
692,150,3
693,150,3
694,150,3
695,200,4
696,200,4
697,50,1
698,250,5
699,250,5
700,50,1
701,150,3
702,100,2
703,200,4
704,100,2
705,50,1
706,250,5
707,250,5
708,200,4
709,50,1
710,250,5
711,150,3
712,200,4
713,150,3
714,250,5
715,250,5
716,200,4
717,200,4
718,50,1
719,150,3
720,200,4
721,50,1
722,50,1
723,250,5
724,150,3
725,50,1
726,100,2
727,150,3
728,150,3
729,150,3
730,150,3
731,250,5
732,250,5
733,150,3
734,250,5
735,50,1
736,250,5
737,150,3
738,250,5
739,50,1
740,150,3
741,200,4
742,150,3
743,100,2
744,100,2
745,100,2
746,250,5
747,200,4
748,250,5
749,50,1
750,100,2
751,250,5
752,50,1
753,200,4
754,200,4
755,250,5
756,100,2
757,100,2
758,50,1
759,200,4
760,100,2
761,200,4
762,150,3
763,150,3
764,50,1
765,50,1
766,200,4
767,50,1
768,150,3
769,100,2
770,100,2
771,200,4
772,200,4
773,50,1
774,200,4
775,200,4
776,150,3
777,150,3
778,50,1
779,150,3
780,250,5
781,200,4
782,100,2
783,100,2
784,250,5
785,200,4
786,50,1
787,250,5
788,50,1
789,200,4
790,50,1
791,250,5
792,250,5
793,100,2
794,250,5
795,250,5
796,250,5
797,200,4
798,100,2
799,200,4
800,50,1
801,50,1
802,250,5
803,200,4
804,250,5
805,150,3
806,200,4
807,150,3
808,250,5
809,50,1
810,250,5
811,200,4
812,100,2
813,100,2
814,200,4
815,100,2
816,150,3
817,250,5
818,50,1
819,50,1
820,200,4
821,100,2
822,150,3
823,250,5
824,100,2
825,250,5
826,50,1
827,50,1
828,250,5
829,250,5
830,50,1
831,200,4
832,50,1
833,100,2
834,150,3
835,250,5
836,50,1
837,100,2
838,150,3
839,250,5
840,100,2
841,100,2
842,100,2
843,50,1
844,150,3
